Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
138,-13,Peso Pluma - dopamina (w/ Tito Double P),18,13,,10547474,-125717.0,251354391
139,-8,Jimin - Who,93,1,(x3),10496953,-61309.0,2369571673
140,+10,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),4,140,,10484972,547292.0,38565935
141,NEW,Noah Kahan - 23,1,141,,10423922,,10423922
142,-25,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",77,72,,10363147,-711433.0,747580903
143,-13,Lord Huron - The Night We Met,184,15,,10253491,-309620.0,2463774201
144,+7,Rihanna - Don't Stop The Music,27,133,,10242098,307645.0,241889637
145,-3,The Weeknd - Timeless (w/ Playboi Carti),83,3,(x1),10229139,160713.0,1488023574
146,+33,OneRepublic - Counting Stars,412,3,(x5),10225935,839692.0,2617021035
147,-31,Harry Styles - American Girls,8,1,(x1),10215060,-896343.0,148219143
148,-13,Nirvana - Smells Like Teen Spirit - Remastered,109,103,,10201502,-116522.0,864369586
149,+3,The Weeknd - Blinding Lights,335,1,(x13),10186115,259489.0,5321662134
150,-69,Justin Bieber - Favorite Girl,3,81,,10185535,-3009252.0,33140612
151,+11,Maroon 5 - Payphone (w/ Wiz Khalifa),101,70,,10184647,492304.0,773438210
152,RE,Michael Jackson - Thriller,10,55,,10093731,,73447265
153,-12,Ella Langley - Be Her,3,114,,10080151,-13033.0,30978200
154,-27,The Script - The Man Who Can't Be Moved,24,95,,9980597,-625624.0,233081375
155,-22,Danny Ocean - Me RehÃºso,94,20,,9882440,-481439.0,864122017
156,NEW,Michael Jackson - Dirty Diana - 2012 Remaster,1,156,,9878067,,9878067
157,+12,Eminem - Love The Way You Lie (w/ Rihanna),6,156,,9838977,300964.0,54977411
158,-5,Rihanna - Only Girl (In The World),28,99,,9823219,-64916.0,252527911
159,+32,Lenin RamÃ­rez - Todo Lo Fue,14,85,,9806788,681238.0,141183025
160,+1,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",181,86,,9797071,103520.0,1596805732
161,-46,sombr - undressed,57,6,,9788881,-1360324.0,880539729
162,-25,Coldplay - Sparks,88,30,,9756864,-536228.0,989906840
163,-27,Rihanna - Kiss It Better,27,100,,9712977,-598857.0,133700370
164,-4,Gracie Abrams - Thatâs So True,80,3,(x1),9705694,-9052.0,1680689299
165,-18,"W Sound - La Plena - W Sound 05 (w/ BeÃ©le, Ovy On The Drums)",61,5,,9643711,-341165.0,1063117666
166,-12,Rihanna - We Found Love (w/ Calvin Harris),129,59,,9575422,-240610.0,1056395408
167,-8,Keane - Somewhere Only We Know,179,71,,9571806,-155357.0,1687968805
168,-34,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),28,18,,9563363,-765293.0,390823162
169,-43,Bruno Mars - When I Was Your Man,219,38,,9555412,-1090282.0,1758171178
170,NEW,Ella Langley - I Can't Love You Anymore (w/ Morgan Wallen),1,170,,9532551,,9532551
171,-42,Sal Priadi - Ada titik-titik di ujung doa,7,109,,9491148,-1091997.0,68558178
172,-8,Guns N' Roses - Sweet Child O' Mine,69,101,,9474563,-201104.0,557500210
173,-33,Daniel Caesar - Who Knows,23,58,,9472957,-636438.0,252492794
174,+4,Neton Vega - Nalguita y Teta,2,174,,9453640,66365.0,18840915
175,+8,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),335,1,(x2),9441053,160035.0,3691832349
176,NEW,Michael Jackson - Bad - 2012 Remaster,1,176,,9440990,,9440990
177,-6,"Chappell Roan - Good Luck, Babe!",107,6,,9430559,-95661.0,2076761242
178,-35,Linkin Park - Numb,108,24,,9426895,-619516.0,1084123644
179,-35,The MarÃ­as - No One Noticed,76,37,,9420377,-618824.0,940436104
180,-13,Charlie Puth - We Don't Talk Anymore (w/ Selena Gomez),124,9,,9400084,-243064.0,864242777
181,RE,Shawn Mendes - There's Nothing Holdin' Me Back,82,5,,9350411,,747587032
182,NEW,Michael Jackson - Chicago,1,182,,9310864,,9310864
183,-3,Eminem - Without Me,243,31,,9259301,-75085.0,2118905098
184,+15,Katy Perry - Last Friday Night (T.G.I.F.),15,144,,9189220,250480.0,131047657
185,-11,Oasis - Wonderwall - Remastered,133,63,,9185411,-324306.0,729661612
186,-31,Shakira - Hips Don't Lie (w/ Wyclef Jean),51,82,,9114479,-698448.0,466252829
187,-2,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",16,47,,9050061,-158764.0,184831073
188,RE,Hozier - Too Sweet,92,2,(x2),9046986,,1795753743
189,NEW,Noah Kahan - All Them Horses,1,189,,9043664,,9043664
190,NEW,Noah Kahan - Staying Still,1,190,,9003144,,9003144
191,RE,Kehlani - Folded,34,62,,8997154,,362610735
192,RE,Rihanna - S&M,8,186,,8982847,,67397455
193,RE,Natasha Bedingfield - Unwritten,70,16,,8979879,,835541677
194,RE,Drake - Passionfruit,58,2,(x2),8972014,,509345162
195,RE,Shawn Mendes - Treat You Better,83,5,,8948912,,726923957
196,NEW,Michael Jackson - Remember the Time,1,196,,8944575,,8944575
197,-27,Ed Sheeran - Perfect,445,4,,8915319,-614380.0,3623472607
198,RE,Lady Gaga - Poker Face,63,37,,8908677,,584644929
199,-53,BTS - No. 29,6,22,,8904918,-1080355.0,86397216
200,-51,Nadhif Basalamah - kota ini tak sama tanpamu,17,48,,8902902,-1065469.0,190790092
